Emotions,Path
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f04.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f05.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f06.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f07.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f08.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f09.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f10.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f11.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f12.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f13.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f14.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f15.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h01.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h02.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h03.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h04.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h05.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h06.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h07.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h08.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h09.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h10.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h11.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h12.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h13.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h14.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_h15.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n01.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n02.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n03.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n04.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n05.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n06.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n07.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n08.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n09.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n10.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n11.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n12.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n13.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n14.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n15.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n16.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n17.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n18.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n19.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n20.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n21.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n22.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n23.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n24.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n25.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n26.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n27.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n28.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n29.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_n30.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa01.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa02.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa03.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa04.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa05.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa06.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa07.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa08.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa09.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa10.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa11.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa12.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa13.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa14.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_sa15.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su01.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su02.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su03.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su04.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su05.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su06.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su07.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su08.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su09.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su10.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su11.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su12.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su13.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su14.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_su15.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a01.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a02.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a03.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a04.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a05.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a06.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a07.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a08.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a09.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a10.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a11.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a12.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a13.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a14.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_a15.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d01.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d02.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d03.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d04.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d05.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d06.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d07.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d08.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d09.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d10.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d11.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d12.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d13.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d14.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_d15.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f01.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f02.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f03.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f04.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f05.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f06.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f07.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f08.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f09.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f10.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f11.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f12.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f13.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f14.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_f15.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h01.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h02.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h03.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h04.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h05.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h06.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h07.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h08.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h09.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h10.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h11.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h12.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h13.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h14.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_h15.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n01.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n02.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n03.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n04.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n05.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n06.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n07.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n08.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n09.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n10.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n11.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n12.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n13.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n14.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n15.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n16.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n17.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n18.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n19.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n20.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n21.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n22.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n23.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n24.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n25.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n26.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n27.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n28.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n29.wav
neutral,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_n30.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa01.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa02.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa03.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa04.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa05.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa06.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa07.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa08.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa09.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa10.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa11.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa12.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa13.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa14.wav
sad,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_sa15.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su01.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su02.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su03.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su04.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su05.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su06.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su07.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su08.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su09.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su10.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su11.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su12.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su13.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su14.wav
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JE_su15.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a01.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a02.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a03.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a04.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a05.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a06.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a07.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a08.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a09.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a10.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a11.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a12.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a13.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a14.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_a15.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d01.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d02.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d03.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d04.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d05.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d06.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d07.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d08.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d09.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d10.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d11.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d12.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d13.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d14.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_d15.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f01.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f02.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f03.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f04.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f05.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f06.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f07.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f08.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f09.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f10.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f11.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f12.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f13.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f14.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_f15.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h01.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h02.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h03.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h04.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h05.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h06.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h07.wav
happy,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/JK_h08.wav
